Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,C_Polarized,
D1,LED_D5.0mm_Clear,1,LED,
J1,PinSocket_1x30_P2.54mm_Vertical,1,Conn_01x30_Socket,
J2,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B,
J3,PinSocket_2x31_P2.54mm_Vertical,1,Conn_02x31_Odd_Even,
"R1, R2, R3, R4, R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,7,R,
SW1,SW_PUSH_6mm,1,SW_Push,
U1,DIP-28_W15.24mm,1,27C512,
"U10, U11, U9",DIP-16_W7.62mm,3,74LS157,
U12,DIP-20_W7.62mm,1,74LS245 IO-IN,
"U2, U8",DIP-20_W7.62mm,2,GAL16V8,
U3,DIP-28_W7.62mm,1,CY62256-70PC,
U4,DIP-40_W15.24mm,1,W65C816SxP,
U5,DIP-20_W7.62mm,1,74LS373 ADR,
U6,DIP-20_W7.62mm,1,74LS245 DAT,
U7,DIP-20_W7.62mm,1,74LS373 IO-OUT,
Y1,Oscillator_DIP-14,1,CXO_DIP14,
