Designator,Mid X,Mid Y,Rotation,Layer
C1,17.8249,-100.33,0.0,top
D1,46.736,-33.02,270.0,top
J1,69.85,-109.982,90.0,top
J2,26.8865,-21.844,180.0,top
J3,110.49,-66.04,180.0,top
R1,16.51,-36.83,90.0,top
R2,20.56,-36.83,90.0,top
R3,24.61,-36.83,90.0,top
R4,28.66,-36.83,90.0,top
R5,32.71,-36.83,90.0,top
R6,36.52,-36.83,270.0,top
R7,40.386,-36.83,270.0,top
SW1,19.864,-109.184,0.0,top
U1,47.244,-62.992,0.0,top
U10,57.912,-94.234,0.0,top
U11,72.644,-94.234,0.0,top
U12,97.282,-50.292,0.0,top
U2,67.818,-19.299,90.0,top
U3,66.04,-62.992,0.0,top
U4,24.13,-70.871,0.0,top
U5,67.818,-31.242,90.0,top
U6,85.09,-50.292,0.0,top
U7,97.282,-79.248,0.0,top
U8,95.758,-19.05,90.0,top
U9,43.439,-94.234,0.0,top
Y1,43.18,-20.32,0.0,top
